Team 1,Team 2,Score 1,Score 2
Tim Vid,Don Keys,12,8
Ptujska Legija,Valovčki 2,7,12
Žabarji,Tim Vid,8,13
Don Keys,Ptujska Legija,9,8
Valovčki 2,Žabarji,12,9
Valovčki 2,Don Keys,8,6
Tim Vid,Ptujska Legija,11,10
Žabarji,Ptujska Legija,6,10
Vevrce,Freeze me,7,8
Valovčki 1,Ritopiki,9,11
Tim Vid,Freeze me,9,6
Valovčki 1,Freeze me,9,7
Freeze me,Valovčki 2,5,10
Valovčki 1,Don Keys,8,7
Vevrce,Nepredvidljivi,11,7
Valovčki 1,Vertigo,8,12
Vevrce,Valovčki 1,8,11
Nepredvidljivi,Vertigo,5,14
Vertigo,Vevrce,10,8
Valovčki 1,Nepredvidljivi,14,5
Žabarji,Don Keys,3,9
Ptujska Legija,Nepredvidljivi,12,9
Vertigo,Don Keys,14,11
Ptujska Legija,EJ Ekipa,13,9
Vertigo,The Restarts,9,8
Ptujska Legija,Vevrce,8,9
The Restarts,Tim Vid,12,8
Vertigo,Ritopiki,7,13
EJ Ekipa,The Restarts,3,10
Ritopiki,Freeze me,14,5
EJ Ekipa,Ritopiki,2,14
The Restarts,Freeze me,15,8
Ritopiki,The Restarts,11,8
EJ Ekipa,Freeze me,8,9
Tim Vid,Valovčki 2,7,9
EJ Ekipa,Žabarji,11,9
Valovčki 2,The Restarts,6,14
Valovčki 2,Don Keys,7,11
Nepredvidljivi,Žabarji,7,8
Ritopiki,Tim Vid,13,8
